Resultado,numero 1,numero 2,numero 3,numero 4,numero 5,numero 6,numero 7,numero 8,numero 9,numero 10,numero 11,numero 12,numero 13,numero 14,numero 15
perde,02,03,04,05,08,09,10,12,13,14,16,20,22,24,25
perde,01,02,03,04,05,07,10,11,12,13,19,21,22,24,25
perde,01,02,05,07,08,09,11,13,14,15,16,20,23,24,25
perde,01,04,05,06,09,10,11,15,16,17,18,20,21,23,25
perde,02,04,06,07,11,13,14,15,16,17,18,19,20,21,24
perde,02,03,08,10,11,13,15,16,17,18,19,20,21,22,25
perde,01,05,07,11,12,13,14,15,17,18,19,20,22,24,25
perde,01,03,05,06,07,08,09,14,15,16,17,19,21,22,23
vence,1,2,4,5,7,9,10,11,12,13,14,16,18,21,24
perde,01,02,03,05,07,09,11,14,16,17,18,20,21,23,24
perde,01,03,05,08,10,12,13,14,15,17,19,20,22,23,25
perde,01,03,04,05,06,07,09,10,11,14,15,16,20,22,24
perde,02,03,04,05,07,09,11,14,16,17,18,20,22,23,25
perde,03,04,05,06,07,10,14,16,18,19,20,22,23,24,25
perde,01,04,05,06,09,10,12,15,17,18,20,22,23,24,25
perde,01,02,03,04,06,09,10,12,14,15,17,18,19,21,22
perde,01,02,03,05,06,08,09,11,14,15,18,21,23,24,25
perde,01,04,05,06,11,13,14,15,16,18,19,20,21,22,23
perde,01,04,07,08,09,10,11,12,13,14,18,19,21,23,25
perde,03,05,06,09,10,12,14,16,17,19,20,21,22,24,25
vence,1,2,5,7,8,9,10,11,12,13,14,19,21,22,25
perde,04,05,06,10,11,12,13,15,16,18,20,21,22,24,25
vence,2,4,5,6,10,12,13,15,17,18,19,22,23,24,25
vence,1,3,5,7,9,10,12,13,14,15,17,20,21,22,24
vence,1,3,6,8,9,10,12,15,17,18,19,20,21,23,24
perde,01,03,04,06,08,09,10,11,13,14,15,20,22,23,24
perde,01,02,03,05,08,10,11,15,17,18,19,20,21,24,25
vence,2,3,4,5,9,10,11,12,14,18,19,20,22,23,25
perde,01,02,03,05,06,07,09,10,11,14,17,18,19,21,24
vence,1,2,3,4,7,8,9,12,13,14,17,20,22,23,24
perde,01,03,04,05,07,08,10,14,15,16,17,21,23,24,25
perde,01,02,03,06,07,10,12,13,15,16,18,19,22,23,24
perde,01,04,05,06,08,12,13,14,16,18,20,21,23,24,25
