Resultado,numero 1,numero 2,numero 3,numero 4,numero 5,numero 6
perde,19,24,28,33,45,58
perde,04,22,28,32,37,53
perde,04,21,26,28,33,38
perde,07,10,25,26,48,53
perde,07,08,16,25,29,54
perde,01,07,27,35,41,53
perde,09,16,23,31,40,53
perde,07,10,21,26,29,31
vence,13,15,16,20,40,41
vence,4,9,24,44,47,56
perde,13,20,21,24,39,47
perde,08,10,26,42,51,54
perde,02,12,24,30,34,35
perde,06,25,27,36,50,51
perde,05,32,35,43,46,48
perde,07,16,26,32,36,40
vence,1,4,5,14,45,56
vence,2,33,42,43,51,55
perde,11,36,39,42,43,49
perde,01,02,06,23,27,29
perde,03,07,19,22,47,58
vence,5,11,17,19,44,48
perde,24,35,37,51,53,58
perde,09,14,40,44,50,52
perde,08,41,45,48,54,59
perde,08,18,29,32,52,59
perde,07,11,24,27,45,50
perde,31,35,36,40,41,46
perde,12,23,25,28,43,55
perde,07,08,16,20,40,47
perde,04,15,22,28,31,34
perde,09,15,23,47,50,54
perde,04,18,32,43,45,46
perde,03,21,23,31,33,57
perde,09,11,19,26,27,59
vence,10,21,26,29,32,38
perde,09,15,30,33,52,60
perde,07,16,34,41,42,48
perde,02,06,07,27,29,46
vence,9,24,33,41,48,54
perde,20,21,29,36,46,53
vence,4,28,45,48,52,60
perde,02,18,19,32,42,58
vence,9,24,31,44,48,49
perde,05,06,18,20,27,40
perde,01,19,21,23,28,49
perde,11,17,28,30,31,56
perde,05,08,14,29,31,41
perde,06,13,19,20,26,59
perde,03,05,26,27,35,53
perde,04,13,17,43,47,51
perde,28,29,31,39,43,50
vence,6,21,22,34,36,54
perde,09,17,24,30,37,53
perde,09,21,23,34,35,48
perde,15,18,22,26,34,36
vence,6,15,19,24,31,32
perde,01,06,14,24,33,38
vence,2,18,31,42,51,56
perde,13,28,44,46,49,59
vence,21,27,31,45,55,56
perde,01,07,12,20,24,47
perde,13,18,37,54,55,59
perde,02,21,23,27,30,55
perde,02,09,34,36,38,52
perde,04,11,22,28,30,44
perde,10,13,16,24,52,57
perde,05,06,12,23,24,34
perde,01,08,21,34,42,51
perde,02,14,40,50,56,60
perde,17,24,29,30,42,45
perde,14,23,31,41,51,52
perde,23,24,30,37,48,52
perde,08,36,42,51,55,58
perde,23,30,32,38,41,52
perde,06,08,10,14,31,55
perde,02,06,14,16,44,51
perde,01,09,12,18,30,51
perde,06,25,26,28,36,49
perde,03,08,14,27,39,54
perde,25,26,49,55,56,57
vence,11,26,27,37,42,48
perde,09,17,27,28,34,59
perde,07,34,45,49,55,60
perde,03,24,45,50,59,60
perde,18,28,37,50,53,57
perde,02,09,35,48,51,54
perde,01,21,32,39,45,54
perde,19,23,32,49,54,60
perde,05,11,16,24,27,55
perde,02,10,16,28,31,48
perde,13,38,45,47,56,60
perde,04,11,17,44,45,60
perde,04,37,38,48,56,57
perde,14,17,30,38,46,54
perde,08,22,29,32,35,49
perde,03,20,22,39,42,46
vence,1,26,37,39,43,48
perde,08,13,27,28,34,46
perde,09,14,15,18,19,49
perde,13,22,24,25,27,54
perde,09,14,30,42,50,53
perde,09,14,23,30,39,43
vence,5,35,37,38,45,51
perde,10,42,45,52,58,59
perde,01,29,43,50,53,56
vence,20,25,27,33,42,53
perde,10,23,28,44,56,59
perde,03,06,09,25,39,51
perde,12,23,29,33,50,54
perde,02,05,06,23,35,54
perde,15,17,19,29,38,42
perde,03,11,31,34,43,51
perde,08,20,37,38,47,50
perde,05,11,20,28,32,50
perde,02,26,36,37,44,53
perde,07,08,17,40,41,45
perde,11,27,28,35,38,49
perde,03,12,24,27,31,48
perde,25,29,34,50,57,59
perde,26,40,50,53,54,55
vence,6,15,30,37,45,47
perde,01,06,11,20,54,56
perde,16,19,44,47,48,49
perde,06,30,35,36,57,59
perde,09,23,35,39,40,48
perde,02,03,06,13,18,44
perde,24,32,42,43,44,48
vence,14,24,32,38,46,53
perde,09,12,13,30,37,56
perde,04,08,14,20,30,43
vence,1,17,28,37,44,50
perde,06,18,41,56,57,58
perde,16,21,22,33,44,55
vence,1,12,20,26,45,54
perde,03,09,17,22,52,57
vence,6,17,19,34,46,55
perde,19,31,38,43,46,48
perde,07,09,14,50,51,56
perde,01,14,18,32,42,54
vence,2,6,18,23,31,46
vence,8,11,23,37,51,58
perde,18,29,41,54,55,60
perde,04,15,25,27,28,49
vence,5,22,28,47,59,60
perde,09,11,28,46,48,56
perde,01,17,28,31,36,45
perde,18,28,29,48,51,60
perde,15,19,31,36,43,47
perde,01,12,43,44,45,53
perde,04,27,31,42,55,59
vence,15,16,31,41,43,51
perde,04,08,19,26,28,47
perde,06,09,29,48,52,53
perde,09,10,21,31,39,43
vence,3,13,40,44,46,50
vence,14,30,36,38,46,59
perde,06,40,41,42,43,44
perde,13,16,42,46,50,55
perde,03,04,09,10,27,55
perde,13,16,17,33,37,59
perde,29,34,42,43,55,57
perde,10,13,30,32,38,58
perde,02,25,37,45,50,59
perde,17,26,43,47,57,60
perde,05,11,27,29,47,49
perde,03,15,30,40,42,56
perde,28,31,41,44,57,59
perde,07,18,26,37,49,51
perde,01,07,20,31,36,59
perde,28,38,40,43,44,53
perde,18,26,32,49,58,60
perde,03,23,29,41,43,55
perde,04,13,22,29,36,50
perde,10,34,44,47,51,53
perde,08,13,28,30,49,56
perde,17,25,44,46,48,50
perde,08,13,19,39,46,52
perde,02,05,25,41,44,52
perde,02,17,20,28,45,49
vence,11,17,25,38,52,57
perde,08,10,27,34,53,54
perde,02,35,40,41,58,60
perde,06,25,26,42,56,60
perde,07,17,23,40,50,52
perde,13,21,31,51,57,58
vence,4,11,16,22,29,33
perde,17,18,23,27,42,53
perde,05,17,44,47,54,58
vence,4,22,28,30,44,49
vence,2,7,22,35,43,59
